H3 셀,2024 승차인원,2025 승차인원,승차인원 증감
8730e0a40ffffff,9,14,5
8730e0a41ffffff,286,238,-48
8730e0a42ffffff,39,18,-21
8730e0a44ffffff,106,92,-14
8730e0a49ffffff,18,25,7
8730e0a51ffffff,3,5,2
8730e0a5cffffff,16,17,1
8730e0a5dffffff,365,519,154
8730e0a60ffffff,953,703,-250
8730e0a62ffffff,466,257,-209
8730e0a66ffffff,2298,1841,-457
8730e0a6bffffff,3,3,0
8730e0a6effffff,12,1,-11
8730e0b49ffffff,252,192,-60
8730e0b59ffffff,286,428,142
8730e0b5affffff,93,70,-23
8730e0b6affffff,16,10,-6
8730e56a2ffffff,23,8,-15
8730e56b0ffffff,45,45,0
8730e56b6ffffff,10,8,-2
