h3_8,stop_count_2024,stop_count_2025,stop_names_2024,stop_names_2025,2024_정류장_존재,2025_정류장_존재,셀_상태
8830e0a289fffff,0,1,,걸포공원후문,False,True,2025년 신규 셀
8830e0a2e3fffff,1,2,홈플러스.산림조합,한국아파트 | 홈플러스.산림조합,True,True,공통 셀
8830e0a407fffff,1,1,토당고가.별빛마을9단지,토당고가.별빛마을9단지,True,True,공통 셀
8830e0a415fffff,1,1,화정동단독주택단지,화정동단독주택단지,True,True,공통 셀
8830e0a419fffff,2,2,성사2동행정복지센터 | 어울림마을7단지,성사2동행정복지센터 | 어울림마을7단지,True,True,공통 셀
8830e0a41dfffff,3,3,고양어울림누리.달빛마을1단지 | 명지병원.달빛마을3단지 | 화정1동행정복지센터,고양어울림누리.달빛마을1단지 | 명지병원.달빛마을3단지 | 화정1동행정복지센터,True,True,공통 셀
8830e0a423fffff,2,2,능곡중학교 | 토당초등학교.우창프라자,능곡중학교 | 토당초등학교.우창프라자,True,True,공통 셀
8830e0a42bfffff,1,1,능곡병원,능곡병원,True,True,공통 셀
8830e0a431fffff,2,2,옥빛17단지.롯데마트고양점 | 화정2동행정복지센터,옥빛17단지.롯데마트고양점 | 화정2동행정복지센터,True,True,공통 셀
8830e0a435fffff,5,5,무원고교 | 행신SK뷰아파트 | 행신동삼거리 | 행신초등학교.더자인병원 | 행신초등학교.더자인병원(중),무원고교 | 행신SK뷰아파트 | 행신동삼거리 | 행신초등학교.더자인병원 | 행신초등학교.더자인병원(중),True,True,공통 셀
8830e0a437fffff,3,3,가라뫼.한전앞 | 샘터마을2단지 | 행신동(중),가라뫼.한전앞 | 샘터마을2단지 | 행신동(중),True,True,공통 셀
8830e0a439fffff,3,3,근린공원 | 별빛마을8단지.롯데마트 | 화정역.덕양구청,근린공원 | 별빛마을8단지.롯데마트 | 화정역.덕양구청,True,True,공통 셀
8830e0a43dfffff,2,1,고양경찰서.토당청소년수련관(중) | 고양경찰서앞.고양어린이박물관,고양경찰서.토당청소년수련관(중),True,True,공통 셀
8830e0a44dfffff,1,1,백송마을1.2단지,백송마을1.2단지,True,True,공통 셀
8830e0a453fffff,0,1,,고양시청.덕양구보건소,False,True,2025년 신규 셀
8830e0a463fffff,1,1,대곡역(중),대곡역(중),True,True,공통 셀
8830e0a49bfffff,1,1,삼송역사거리(중),삼송역사거리(중),True,True,공통 셀
8830e0a513fffff,1,1,행주산성입구.행주내동,행주산성입구.행주내동,True,True,공통 셀
8830e0a51bfffff,1,1,맨돌,맨돌,True,True,공통 셀
8830e0a591fffff,1,0,덕은초.덕양중학교(중),,True,False,2024년만 존재
8830e0a597fffff,1,1,덕은동(중),덕은동(중),True,True,공통 셀
8830e0a5d1fffff,1,1,서정마을(중),서정마을(중),True,True,공통 셀
8830e0a5ddfffff,2,2,서정마을입구 | 소만마을(중),서정마을입구 | 소만마을(중),True,True,공통 셀
8830e0a601fffff,1,1,안곡중고교,안곡중고교,True,True,공통 셀
8830e0a609fffff,3,3,삼성아파트.중산마을8단지 | 중산6단지.중산초교.중산중학교 | 중산마을10단지.동신아파트,삼성아파트.중산마을8단지 | 중산6단지.중산초교.중산중학교 | 중산마을10단지.동신아파트,True,True,공통 셀
8830e0a60dfffff,1,1,산들대림아파트.롯데마트,산들대림아파트.롯데마트,True,True,공통 셀
8830e0a621fffff,1,1,국립암센터,국립암센터,True,True,공통 셀
8830e0a627fffff,1,1,마두1동행정복지센터.마두청소년수련관,마두1동행정복지센터.마두청소년수련관,True,True,공통 셀
8830e0a631fffff,2,2,숲속마을7.8단지 | 숲속마을7.9단지,숲속마을7.8단지 | 숲속마을7.9단지,True,True,공통 셀
8830e0a633fffff,1,0,은행마을3단지.일산자이센트리지.일산자이더헤리티지,,True,False,2024년만 존재
8830e0a635fffff,1,0,풍3동,,True,False,2024년만 존재
8830e0a63dfffff,1,0,숲속마을4.5단지,,True,False,2024년만 존재
8830e0a641fffff,4,3,탄현2단지.삼익아파트 | 탄현마을5.6단지 | 현산초교 | 홀트학교,탄현2단지.삼익아파트 | 탄현마을5.6단지 | 현산초교,True,True,공통 셀
8830e0a643fffff,3,1,중산마을1.2단지 | 중산마을2단지.해태쇼핑.코오롱아파트 | 해태쇼핑.중산사거리,중산마을2단지.해태쇼핑.코오롱아파트,True,True,공통 셀
8830e0a647fffff,1,1,중산마을입구.쌍용아파트.실로암병원,중산마을입구.쌍용아파트.실로암병원,True,True,공통 셀
8830e0a649fffff,2,2,탄현큰마을.동성아파트 | 탄현큰마을.쌍용아파트,탄현큰마을.동성아파트 | 탄현큰마을.쌍용아파트,True,True,공통 셀
8830e0a64dfffff,2,2,경남아너스빌.탄현역 | 철산아파트.탄현역앞.고양시현충공원,경남아너스빌.탄현역 | 철산아파트.탄현역앞.고양시현충공원,True,True,공통 셀
8830e0a663fffff,2,2,밤가시마을 | 일산국제컨벤션고교,밤가시마을 | 일산국제컨벤션고교,True,True,공통 셀
8830e0a665fffff,2,2,강선마을(중) | 주엽역(중),강선마을(중) | 주엽역(중),True,True,공통 셀
8830e0a66dfffff,1,1,문촌마을(중),문촌마을(중),True,True,공통 셀
8830e0a683fffff,1,0,청대골,,True,False,2024년만 존재
8830e0a691fffff,2,1,고양외고.고양제일중학교 | 관산삼거리,고양외고.고양제일중학교,True,True,공통 셀
8830e0a697fffff,3,3,관산동.벽제시장 | 관산주공아파트.관산동행정복지센터 | 신성아파트,관산동.벽제시장 | 관산주공아파트.관산동행정복지센터 | 신성아파트,True,True,공통 셀
8830e0a699fffff,1,0,두포동.관산동성당,,True,False,2024년만 존재
8830e0a69dfffff,1,1,벽제교삼거리,벽제교삼거리,True,True,공통 셀
8830e0a6a1fffff,1,1,원릉역,원릉역,True,True,공통 셀
8830e0a6a5fffff,5,5,고양시청 | 세창짜임아파트 | 원당연세병원 | 주교동.원릉방앗간,고양시청 | 세창짜임아파트 | 원당대림아파트 | 원당연세병원 | 주교동.원릉방앗간,True,True,공통 셀
8830e0a6a7fffff,1,1,성사고등학교,성사고등학교,True,True,공통 셀
8830e0a6bdfffff,1,1,왕릉골,왕릉골,True,True,공통 셀
8830e0a6edfffff,2,1,위시티3.4단지 | 위시티주상복합단지,위시티3.4단지,True,True,공통 셀
8830e0a711fffff,2,2,백석역(중) | 알미공원.일산동구보건소(중),백석역(중) | 알미공원.일산동구보건소(중),True,True,공통 셀
8830e0a713fffff,3,3,백석도서관.일산병원 | 백석동.요진와이시티(중) | 백석역.고양종합터미널,백석도서관.일산병원 | 백석동.요진와이시티(중) | 백석역.고양종합터미널,True,True,공통 셀
8830e0a719fffff,1,2,마두역(중),마두역(중) | 호수마을(중),True,True,공통 셀
8830e0a753fffff,1,1,일산동구청(중),일산동구청(중),True,True,공통 셀
8830e0a75bfffff,1,1,일산동부경찰서(중),일산동부경찰서(중),True,True,공통 셀
8830e0b401fffff,1,1,문발동.아랫말,문발동.아랫말,True,True,공통 셀
8830e0b405fffff,3,2,돌곶이꽃마을 | 롯데프리미엄아울렛 | 출판단지삼거리,롯데프리미엄아울렛 | 출판단지삼거리,True,True,공통 셀
8830e0b411fffff,3,2,청석마을8단지 | 청석마을9단지,청석마을8단지 | 청석마을9단지,True,True,공통 셀
8830e0b413fffff,1,0,물향기마을1단지,,True,False,2024년만 존재
8830e0b415fffff,2,2,숲속길마을3.6단지 | 숲속길마을7단지,숲속길마을3.6단지 | 숲속길마을7단지,True,True,공통 셀
8830e0b41bfffff,1,0,난방공사,,True,False,2024년만 존재
8830e0b41dfffff,1,1,교하차고지,교하차고지,True,True,공통 셀
8830e0b427fffff,1,1,산남교차로,산남교차로,True,True,공통 셀
8830e0b42dfffff,2,1,북센정문 | 북센후문,북센정문,True,True,공통 셀
8830e0b463fffff,2,1,심학교 | 이채쇼핑몰,이채쇼핑몰,True,True,공통 셀
8830e0b467fffff,2,2,은석교사거리 | 이석사거리,은석교사거리 | 이석사거리,True,True,공통 셀
8830e0b481fffff,2,2,지산중학교.운정행복센터 | 해솔마을4단지,지산중학교.운정행복센터 | 해솔마을4단지,True,True,공통 셀
8830e0b483fffff,1,1,한길육교,한길육교,True,True,공통 셀
8830e0b485fffff,3,3,운정행복센터.운정합동주민센터 | 한빛마을1.2단지 | 해솔마을6.7단지,운정행복센터.운정합동주민센터 | 한빛마을1.2단지 | 해솔마을6.7단지,True,True,공통 셀
8830e0b489fffff,1,1,두레공원(중),두레공원(중),True,True,공통 셀
8830e0b48bfffff,2,1,가람마을2.8단지(중) | 가람마을3.4.6단지,가람마을3.4.6단지,True,True,공통 셀
8830e0b48dfffff,1,1,해솔마을2.5단지,해솔마을2.5단지,True,True,공통 셀
8830e0b4a7fffff,3,3,앵골.광성교회 | 일산가구공단 | 하이파크시티3.5단지,앵골.광성교회 | 일산가구공단 | 하이파크시티3.5단지,True,True,공통 셀
8830e0b4a9fffff,5,4,경기인력개발원 | 새암공원 | 한빛마을1단지 | 한빛마을3.6단지,새암공원 | 한빛마을1단지 | 한빛마을3.6단지,True,True,공통 셀
8830e0b4abfffff,4,4,야당역.한빛마을5.9단지 | 한빛마을4.8단지 | 한빛마을5단지,야당역.한빛마을5.9단지 | 한빛마을4.8단지 | 한빛마을5단지,True,True,공통 셀
8830e0b4c5fffff,4,3,산내마을6.8단지 | 해오름중심상가.산내마을1.2단지,산내마을6.8단지 | 해오름중심상가.산내마을1.2단지,True,True,공통 셀
8830e0b4c7fffff,1,1,산내마을8.12단지(중),산내마을8.12단지(중),True,True,공통 셀
8830e0b4c9fffff,1,0,오도삼거리,,True,False,2024년만 존재
8830e0b4d5fffff,0,1,,당하동,False,True,2025년 신규 셀
8830e0b4d7fffff,3,3,가람마을5단지 | 별하람마을1단지 | 별하람마을4.5단지,가람마을5단지 | 별하람마을1단지 | 별하람마을4.5단지,True,True,공통 셀
8830e0b4e1fffff,3,3,산내마을10단지정문 | 운정고등학교 | 한울마을1단지.LH파주본부,산내마을10단지정문 | 운정고등학교 | 한울마을1단지.LH파주본부,True,True,공통 셀
8830e0b4e3fffff,1,2,운정라피아노,운정라피아노 | 한울도서관,True,True,공통 셀
8830e0b4e7fffff,1,1,한울마을2단지,한울마을2단지,True,True,공통 셀
8830e0b4ebfffff,2,2,산내마을11단지 | 산내마을9단지,산내마을11단지 | 산내마을9단지,True,True,공통 셀
8830e0b553fffff,1,0,송운사,,True,False,2024년만 존재
8830e0b587fffff,2,2,송포파출소.송포농협 | 현대파크아파트.양우아파트,송포파출소.송포농협 | 현대파크아파트.양우아파트,True,True,공통 셀
8830e0b593fffff,1,1,서울도시가스,서울도시가스,True,True,공통 셀
8830e0b595fffff,2,2,농수산물센터 | 대화역,농수산물센터 | 대화역,True,True,공통 셀
8830e0b597fffff,1,1,성저마을14단지,성저마을14단지,True,True,공통 셀
8830e0b5abfffff,1,2,대화동,대송중학교 | 대화동,True,True,공통 셀
8830e0b5b1fffff,1,0,킨텍스역.원시티1단지,,True,False,2024년만 존재
8830e0b5b3fffff,1,0,한수초등학교,,True,False,2024년만 존재
8830e0b5b5fffff,1,1,킨텍스역.더샵그라비스타.힐스테이트일산,킨텍스역.더샵그라비스타.힐스테이트일산,True,True,공통 셀
8830e0b5b7fffff,1,0,원마운트,,True,False,2024년만 존재
8830e0b5b9fffff,1,1,대화역(중),대화역(중),True,True,공통 셀
8830e0b5bbfffff,1,1,백병원(중),백병원(중),True,True,공통 셀
8830e0b5bdfffff,1,1,킨텍스,킨텍스,True,True,공통 셀
8830e0b5c3fffff,1,0,가좌마을.킴스.벽산A516동,,True,False,2024년만 존재
8830e0b5c7fffff,0,1,,송포초교,False,True,2025년 신규 셀
8830e0b613fffff,2,0,유승앙브와즈 | 통일초등학교,,True,False,2024년만 존재
8830e0b681fffff,0,1,,갈현농협.파주성모병원,False,True,2025년 신규 셀
8830e0b689fffff,1,0,인삼사우나,,True,False,2024년만 존재
8830e0b695fffff,2,1,장터고개.맥금동영업소,장터고개.맥금동영업소,True,True,공통 셀
8830e0b697fffff,2,0,유승아파트,,True,False,2024년만 존재
8830e0b6a7fffff,1,1,다락골,다락골,True,True,공통 셀
8830e0b6c1fffff,0,1,,주택단지입구,False,True,2025년 신규 셀
8830e0b6c5fffff,1,2,유승앙브와즈2단지,유승앙브와즈101동 | 유승앙브와즈2단지,True,True,공통 셀
8830e0b6c7fffff,1,1,시그네틱스,시그네틱스,True,True,공통 셀
8830e0b6c9fffff,3,2,경기미래교육캠퍼스 | 경모공원앞.헤이리6번게이트 | 헤이리예술마을4G,경기미래교육캠퍼스 | 경모공원앞.헤이리6번게이트,True,True,공통 셀
8830e0b6cbfffff,1,1,민들레병원,민들레병원,True,True,공통 셀
8830e0b6e9fffff,2,1,법흥1리 | 파주프리미엄아울렛후문,파주프리미엄아울렛후문,True,True,공통 셀
8830e0b6ebfffff,2,1,법흥1리.이주단지 | 효자그린빌.이주단지,효자그린빌.이주단지,True,True,공통 셀
8830e1d325fffff,1,2,신원마을2.4단지,신원마을2.4단지 | 신원마을3단지,True,True,공통 셀
8830e1d32dfffff,1,1,신원마을1단지.신원중,신원마을1단지.신원중,True,True,공통 셀
8830e1d363fffff,2,0,대자동 | 서울시립승화원,,True,False,2024년만 존재
8830e1d369fffff,0,1,,필리핀참전비,False,True,2025년 신규 셀
8830e56911fffff,1,1,송촌토파즈아파트,송촌토파즈아파트,True,True,공통 셀
8830e5691dfffff,1,1,봉일천4리,파주삼릉,True,True,공통 셀
8830e5694bfffff,0,1,,말레이지아교,False,True,2025년 신규 셀
8830e56955fffff,3,3,봉일천시장 | 조리농협삼일운동기념비 | 조리읍행정복지센터,봉일천시장 | 조리농협삼일운동기념비 | 조리읍행정복지센터,True,True,공통 셀
8830e56959fffff,1,0,낙머리,,True,False,2024년만 존재
8830e5695dfffff,1,1,등원2리,등원2리,True,True,공통 셀
8830e569a5fffff,1,1,가장동,가장동,True,True,공통 셀
8830e569adfffff,3,3,(임시)서울시립고양병원입구 | 고골입구 | 내유초등학교,(임시)서울시립고양병원입구 | 고골입구 | 내유초등학교,True,True,공통 셀
8830e569e1fffff,3,2,내유동 | 명성운수종점 | 신성슈퍼앞,내유동 | 명성운수종점,True,True,공통 셀
8830e569e7fffff,2,2,윗내유동.희망양로원 | 중간내유동,윗내유동.희망양로원 | 중간내유동,True,True,공통 셀
8830e569e9fffff,1,1,장곡삼거리,장곡삼거리,True,True,공통 셀
8830e56a21fffff,1,1,월롱교,월롱교,True,True,공통 셀
8830e56a25fffff,1,1,월롱역,월롱역,True,True,공통 셀
8830e56a5dfffff,1,0,봉서4리,,True,False,2024년만 존재
8830e56b01fffff,1,1,팜스프링아파트,팜스프링아파트,True,True,공통 셀
8830e56b05fffff,1,1,금촌역,금촌역,True,True,공통 셀
8830e56b0dfffff,1,1,독점말.대방노블랜드2차아파트,독점말.대방노블랜드2차아파트,True,True,공통 셀
8830e56b15fffff,1,0,영태5리,,True,False,2024년만 존재
8830e56b21fffff,1,1,후곡마을4단지,후곡마을4단지,True,True,공통 셀
8830e56b23fffff,3,3,교육지원청 | 파주스타디움 | 흰돌아파트,교육지원청 | 파주스타디움 | 흰돌아파트,True,True,공통 셀
8830e56b2bfffff,3,0,금촌사거리 | 장안아파트 | 파주시청,,True,False,2024년만 존재
8830e56b2dfffff,1,1,금화초교.3단지,금화초교.3단지,True,True,공통 셀
8830e56b31fffff,2,0,PX마을 | 은행마을,,True,False,2024년만 존재
8830e56b39fffff,0,1,,영태3리,False,True,2025년 신규 셀
8830e56b3bfffff,1,0,영태6리.파주이슬람성원,,True,False,2024년만 존재
8830e56b69fffff,1,1,대방아파트,대방아파트,True,True,공통 셀
8830e578b3fffff,1,1,한진1차.문산역,한진1차.문산역,True,True,공통 셀
8830e578b7fffff,1,1,봉서2리.붉은밭,봉서2리.붉은밭,True,True,공통 셀
8830e578bbfffff,2,3,북파주농협.구문산터미널 | 십자약국,문산읍행정복지센터 | 북파주농협.구문산터미널 | 십자약국,True,True,공통 셀
8830e57927fffff,2,2,맛고을.국립민속박물관 | 헤이리1번게이트,맛고을.국립민속박물관 | 헤이리1번게이트,True,True,공통 셀
