H3 셀,2024 노선,2025 노선,노선변경 유형,2024 정류장 수,2025 정류장 수,정류장구성 변경 여부,정류장 구성 판정 근거,노선구성 변경 여부
8830e0a2e3fffff,6701,6701,완전 동일,1,2,1,실제 정류장 추가·제외 또는 위치 변경,0
8830e0a407fffff,9600,9600,완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a419fffff,"1082, 9600","1082, 9600",완전 동일,2,2,0,정류장명 동일 또는 ID 변경,0
8830e0a41dfffff,"1082, 1900, 9600","1082, 1900, 9600",완전 동일,3,3,0,정류장명 동일 또는 ID 변경,0
8830e0a423fffff,"1082, 9600","1082, 9600",완전 동일,2,2,0,정류장명 동일 또는 ID 변경,0
8830e0a42bfffff,9600,9600,완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a431fffff,1082,1082,완전 동일,2,2,0,정류장명 동일 또는 ID 변경,0
8830e0a437fffff,"1000, 1082, 1200, 9700","1000, 1082, 1200, 9700",완전 동일,3,3,0,정류장명 동일 또는 ID 변경,0
8830e0a439fffff,"1082, 1900, 9600","1082, 1900, 9600",완전 동일,3,3,0,정류장명 동일 또는 ID 변경,0
8830e0a44dfffff,1200,1200,완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a49bfffff,"9709, 9710","9709, 9710",완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a513fffff,1082,1082,완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a51bfffff,1082,1082,완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a597fffff,1200,1200,완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a5d1fffff,"1000, 1200, 1900","1000, 1200, 1900",완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a5ddfffff,"1000, 1200, 9700","1000, 1200, 9700",완전 동일,2,2,0,정류장명 동일 또는 ID 변경,0
8830e0a601fffff,1900,1900,완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a609fffff,"1200, M7412","1200, M7412",완전 동일,3,3,0,정류장명 동일 또는 ID 변경,0
8830e0a60dfffff,"1200, M7412","1200, M7412",완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
8830e0a621fffff,1200,1200,완전 동일,1,1,0,정류장명 동일 또는 ID 변경,0
