GTX_A_역,대상지역,STCIS_노선ID,STCIS_노선번호,기점_STCIS,종점_STCIS,비교결과
대곡역,덕양구,41016025,1000,대화동,대화동,노선번호·기점 일치 후보
대곡역,덕양구,41016018,1082,명성운수종점,내유동차고지(미정차),노선번호·기점 일치 후보
대곡역,덕양구,41016027,1200,고양공영차고지,고양공영차고지,노선번호·기점 일치 후보
대곡역,덕양구,41016042,1900,고양공영차고지,고양공영차고지,노선번호·기점 일치 후보
대곡역,덕양구,41165001,7602,고양동종점.고양레저타운,고양동종점.고양레저타운,노선번호·기점 일치 후보
대곡역,덕양구,41003717,9600,위시티3.4단지,위시티3.4단지,노선번호·기점 일치 후보
대곡역,덕양구,41016029,9700,기점진입전(미정차),대화역(중),노선번호·기점 일치 후보
대곡역,덕양구,41034153,9709,장터고개.맥금동영업소,맥금동종점,노선번호·기점 일치 후보
대곡역,덕양구,41034156,9709N,장터고개.맥금동영업소,맥금동종점,노선번호·기점 일치 후보
대곡역,덕양구,41034123,9710,문산읍행정복지센터,문산읍행정복지센터,노선번호·기점 일치 후보
대곡역,덕양구,41034145,9710-1,문산읍행정복지센터,문산읍행정복지센터,노선번호·기점 일치 후보
운정중앙역,운정·파주,41016044,1500,차고지대기(미정차),차고지대기(미정차),노선번호·기점 일치 후보
운정중앙역,운정·파주,41016055,1500(예약),차고지대기(미정차),차고지대기(미정차),노선번호·기점 일치 후보
운정중앙역,운정·파주,41084003,2200,교하파출소,교하파출소,노선번호·기점 일치 후보
운정중앙역,운정·파주,41084009,2200-1,교하파출소,교하파출소,노선번호·기점 일치 후보
운정중앙역,운정·파주,41084007,3100,교하차고지,교하차고지,노선번호·기점 일치 후보
운정중앙역,운정·파주,41084006,3100N,교하차고지,교하차고지,노선번호·기점 일치 후보
운정중앙역,운정·파주,41016049,3400,가람마을5단지,가람마을5단지,노선번호·기점 일치 후보
운정중앙역,운정·파주,41016050,7101,팜스프링아파트,팜스프링아파트,노선번호·기점 일치 후보
운정중앙역,운정·파주,41084008,7111,해오름마을3.4단지,해오름마을3.4단지,노선번호·기점 일치 후보
운정중앙역,운정·파주,41084004,9030,교하파출소,교하파출소,노선번호·기점 일치 후보
운정중앙역,운정·파주,41084005,9030-1,교하차고지,교하차고지,노선번호·기점 일치 후보
운정중앙역,운정·파주,41034153,9709,장터고개.맥금동영업소,맥금동종점,노선번호·기점 일치 후보
운정중앙역,운정·파주,41034156,9709N,장터고개.맥금동영업소,맥금동종점,노선번호·기점 일치 후보
운정중앙역,운정·파주,41034123,9710,문산읍행정복지센터,문산읍행정복지센터,노선번호·기점 일치 후보
운정중앙역,운정·파주,41034145,9710-1,문산읍행정복지센터,문산읍행정복지센터,노선번호·기점 일치 후보
운정중앙역,운정·파주,41084001,G7426,당하동,당하동,노선번호·기점 일치 후보
운정중앙역,운정·파주,41084002,G7625,당하동,당하동,노선번호·기점 일치 후보
운정중앙역,운정·파주,41016903,M7111,차고지대기(미정차),차고지대기(미정차),노선번호·기점 일치 후보
운정중앙역,운정·파주,41016904,M7111(예약),차고지대기(미정차),차고지대기(미정차),노선번호·기점 일치 후보
운정중앙역,운정·파주,41084903,M7154,교하차고지(미정차),교하차고지(미정차),노선번호·기점 일치 후보
킨텍스역,일산서구,41016025,1000,대화동,대화동,노선번호·기점 일치 후보
킨텍스역,일산서구,41016045,1100,고양공영차고지,고양공영차고지,노선번호·기점 일치 후보
킨텍스역,일산서구,41016027,1200,고양공영차고지,고양공영차고지,노선번호·기점 일치 후보
킨텍스역,일산서구,41016044,1500,차고지대기(미정차),차고지대기(미정차),노선번호·기점 일치 후보
킨텍스역,일산서구,41016055,1500(예약),차고지대기(미정차),차고지대기(미정차),노선번호·기점 일치 후보
킨텍스역,일산서구,41016042,1900,고양공영차고지,고양공영차고지,노선번호·기점 일치 후보
킨텍스역,일산서구,41011156,6701,홈플러스.산림조합,홈플러스,노선번호·기점 일치 후보
킨텍스역,일산서구,41016029,9700,기점진입전(미정차),대화역(중),노선번호·기점 일치 후보
킨텍스역,일산서구,41003902,M7412,중산마을2단지.해태쇼핑.코오롱아파트,중산마을2단지.해태쇼핑.코오롱아파트,노선번호·기점 일치 후보
킨텍스역,일산서구,41003910,M7412(예약),중산마을2단지.해태쇼핑.코오롱아파트,중산마을2단지.해태쇼핑.코오롱아파트,노선번호·기점 일치 후보
킨텍스역,일산서구,41016902,M7731,하이파크시티3.5단지,하이파크시티3.5단지,노선번호·기점 일치 후보
