"GTX_A_역","대상지역","버스번호","노선ID","노선유형","기점","종점","서울진입여부"
"대곡역","덕양구","'1000","GGB219000013","직행좌석버스","대화동","숭례문","Y"
"대곡역","덕양구","'1082","GGB219000006","직행좌석버스","명성운수종점","CM병원","Y"
"킨텍스역","일산서구","'1100","GGB218000011","직행좌석버스","고양공영차고지","CM병원","Y"
"대곡역","덕양구","'1200","GGB219000016","직행좌석버스","고양공영차고지","숭례문","Y"
"운정중앙역","운정·파주","'1500","GGB218000010","직행좌석버스","차고지대기(미정차)","CM병원","Y"
"운정중앙역","운정·파주","'1500(예약)","GGB218000174","직행좌석버스","차고지대기(미정차)","CM병원","Y"
"대곡역","덕양구","'1900","GGB219000027","직행좌석버스","고양공영차고지","숭례문","Y"
"운정중앙역","운정·파주","'2200","GGB229000288","직행좌석버스","교하파출소","홍대입구","Y"
"운정중앙역","운정·파주","'3100","GGB229000295","직행좌석버스","교하차고지","홍대입구역(중)","Y"
"운정중앙역","운정·파주","'3100N","GGB229000294","직행좌석버스","교하차고지","홍대입구역(중)","Y"
"운정중앙역","운정·파주","'3400","GGB218000117","직행좌석버스","가람마을5단지","공덕역1번출구","Y"
"킨텍스역","일산서구","'6701","GGB232000139","직행좌석버스","홈플러스.산림조합","상암DMC홍보관.YTN","Y"
"운정중앙역","운정·파주","'7101","GGB229000273","직행좌석버스","팜스프링아파트","혜화역2번출구.마로니에공원","Y"
"운정중앙역","운정·파주","'7111","GGB229000314","직행좌석버스","해오름마을3.4단지","광화문역6번출구.광화문빌딩","Y"
"운정중앙역","운정·파주","'M7111","GGB229000311","광역급행버스","차고지대기(미정차)","숭례문","Y"
"운정중앙역","운정·파주","'M7111(예약)","GGB229000315","광역급행버스","차고지대기(미정차)","숭례문","Y"
"운정중앙역","운정·파주","'M7154","GGB229000281","광역급행버스","교하차고지(미정차)","광화문역6번출구.광화문빌딩","Y"
"운정중앙역","운정·파주","'7200","GGB229000072","직행좌석버스","교하차고지","숭례문","Y"
"킨텍스역","일산서구","'M7412","GGB218000167","광역급행버스","중산마을2단지.해태쇼핑.코오롱아파트","강남역서초현대타워앞","Y"
"킨텍스역","일산서구","'M7412(예약)","GGB218000172","광역급행버스","중산마을2단지.해태쇼핑.코오롱아파트","강남역서초현대타워앞","Y"
"운정중앙역","운정·파주","'G7426","GGB229000111","직행좌석버스","당하동","양재역.양재1동민원분소","Y"
"대곡역","덕양구","'7602","GGB218000164","직행좌석버스","고양동종점.고양레저타운","CM병원","Y"
"운정중앙역","운정·파주","'G7625","GGB229000112","직행좌석버스","당하동","여의도역5번출구","Y"
"킨텍스역","일산서구","'M7731","GGB218000158","광역급행버스","하이파크시티3.5단지","공덕역1번출구","Y"
"운정중앙역","운정·파주","'9030","GGB229000289","직행좌석버스","교하파출소","영등포소방서.타임스퀘어","Y"
"대곡역","덕양구","'9600","GGB234001244","직행좌석버스","위시티3.4단지","강남역12번출구A","Y"
"대곡역","덕양구","'9700","GGB219000026","직행좌석버스","기점진입전(미정차)","말죽거리공원사거리","Y"
"대곡역","덕양구","'9709","GGB229000263","직행좌석버스","장터고개.맥금동영업소","광화문역6번출구","Y"
"대곡역","덕양구","'9709N","GGB229000277","직행좌석버스","장터고개.맥금동영업소","광화문역6번출구","Y"
"대곡역","덕양구","'9710","GGB229000023","직행좌석버스","문산읍행정복지센터","광화문역6번출구","Y"
"운정중앙역","운정·파주","'2200-1","GGB229000316","직행좌석버스","교하파출소","홍대입구","Y"
"운정중앙역","운정·파주","'9030-1","GGB229000290","직행좌석버스","교하차고지","영등포소방서.타임스퀘어","Y"
"대곡역","덕양구","'9710-1","GGB229000247","직행좌석버스","문산읍행정복지센터","광화문역6번출구","Y"
