GTX_A_역,대상지역,버스번호,노선ID,노선유형,기점,종점,서울진입여부
구성역,용인·기흥구,'1101,GGB234000879,직행좌석버스,단국대.치과병원,신분당선강남역(중),Y
구성역,용인·기흥구,'1101N,GGB228000418,직행좌석버스,단국대.치과병원,신분당선강남역(중),Y
구성역,용인·기흥구,'1112,GGB234000016,직행좌석버스,경희대차고지,테크노마트앞.강변역(C),Y
구성역,용인·기흥구,'1112(예약),GGB200000333,직행좌석버스,경희대차고지,테크노마트앞.강변역(C),Y
구성역,용인·기흥구,'1241,GGB228000181,직행좌석버스,청덕중고.지식산업센터.청덕도서관,강남역티월드,Y
구성역,용인·기흥구,'1241(예약),GGB228000451,직행좌석버스,청덕중고.지식산업센터.청덕도서관,강남역티월드,Y
구성역,용인·기흥구,'1550-1,GGB234000324,직행좌석버스,한신대스쿨버스정류장,신논현역.금강빌딩,Y
구성역,용인·기흥구,'1550-1(예약),GGB223000151,직행좌석버스,한신대스쿨버스정류장,신논현역.금강빌딩,Y
구성역,용인·기흥구,'1560A,GGB234000884,직행좌석버스,경희대차고지(미정차),신분당선강남역(중),Y
구성역,용인·기흥구,'1560B,GGB228000433,직행좌석버스,경희대차고지(미정차),신분당선강남역(중),Y
구성역,용인·기흥구,'4101,GGB228000413,직행좌석버스,한숲3단지,숭례문,Y
구성역,용인·기흥구,'4104,GGB228000441,직행좌석버스,서천마을센트럴파크원.힐스테이트,서울역버스환승센터(5번승강장)(중),Y
구성역,용인·기흥구,'5000,GGB228000174,직행좌석버스,남동차고지,서울역버스환승센터(5번승강장)(중),Y
구성역,용인·기흥구,'5000(예약),GGB228000436,직행좌석버스,수원컨트리클럽,서울역버스환승센터(5번승강장)(중),Y
구성역,용인·기흥구,'5001(예약),GGB228000422,직행좌석버스,수원컨트리클럽,신논현역.주류성빌딩,Y
구성역,용인·기흥구,'5001-1(급행),GGB228000428,직행좌석버스,기점진입전(미정차),신논현역.주류성빌딩,Y
구성역,용인·기흥구,'5001-1(예약),GGB228000421,직행좌석버스,금화마을3단지,신논현역.주류성빌딩,Y
구성역,용인·기흥구,'5001-1A,GGB228000430,직행좌석버스,명지대,신논현역.주류성빌딩,Y
구성역,용인·기흥구,'5001-1B,GGB228000177,직행좌석버스,명지대,신논현역,Y
구성역,용인·기흥구,'5001A,GGB228000429,직행좌석버스,남동차고지,신논현역.주류성빌딩,Y
구성역,용인·기흥구,'5001B,GGB228000176,직행좌석버스,남동차고지,신논현역,Y
구성역,용인·기흥구,'5003(예약),GGB228000424,직행좌석버스,수원컨트리클럽,신논현역.주류성빌딩,Y
구성역,용인·기흥구,'5003A,GGB228000431,직행좌석버스,남동차고지,신논현역.주류성빌딩,Y
구성역,용인·기흥구,'5003B,GGB228000182,직행좌석버스,남동차고지,신논현역,Y
구성역,용인·기흥구,'5005,GGB228000175,직행좌석버스,남동차고지,서울역버스환승센터(5번승강장)(중),Y
구성역,용인·기흥구,'5005(거점),GGB228000447,직행좌석버스,강남대역.강남대입구,서울역버스환승센터(5번승강장)(중),Y
구성역,용인·기흥구,'5005(예약),GGB228000423,직행좌석버스,수원컨트리클럽,서울역버스환승센터(5번승강장)(중),Y
구성역,용인·기흥구,'5006,GGB228000262,직행좌석버스,광교차고지,신분당선강남역(중),Y
구성역,용인·기흥구,'5006(예약),GGB228000453,직행좌석버스,광교차고지,신분당선강남역(중),Y
구성역,용인·기흥구,'5007,GGB228000263,직행좌석버스,광교차고지,서울역버스환승센터(5번승강장)(중),Y
구성역,용인·기흥구,'5100,GGB200000115,직행좌석버스,사색의광장,신분당선강남역(중),Y
구성역,용인·기흥구,'5600,GGB228000184,직행좌석버스,명지대,테크노마트앞.강변역(C),Y
