sttnId,bimsId,sttnNm,sttnArsno,sdCd,sggCd,emdCd,조회노선번호,조회ARS,조회시도코드
4150011,219000644,고양공영차고지,20594,41,41287,4128710400,1100,20594,41
4150012,219000645,고양공영차고지,20595,41,41287,4128710400,1100,20595,41
4110982,219000425,송포초교,20036,41,41287,4128710600,1100,20036,41
4110983,219000434,송포초교,20035,41,41287,4128710600,1100,20035,41
4110989,219000429,대송중학교,20053,41,41287,4128710400,1100,20053,41
4110988,219000430,대송중학교,20054,41,41287,4128710400,1100,20054,41
4177532,219000673,킨텍스,20649,41,41287,4128710400,1100,20649,41
4177533,219000674,킨텍스,20650,41,41287,4128710400,1100,20650,41
4124052,219001172,킨텍스역.원시티1단지,20764,41,41285,4128510400,1100,20764,41
4110806,219000189,주엽역(중),20135,41,41287,4128710200,1100,20135,41
4106852,219000363,주엽역(중),20136,41,41287,4128710200,1100,20136,41
4110808,219000190,강선마을(중),20166,41,41287,4128710200,1100,20166,41
4110807,219000192,강선마을(중),20161,41,41287,4128710200,1100,20161,41
4110879,219000130,일산동부경찰서(중),20203,41,41285,4128510300,1100,20203,41
4110880,219000131,일산동부경찰서(중),20206,41,41285,4128510300,1100,20206,41
4110809,219000191,일산동구청(중),20224,41,41285,4128510500,1100,20224,41
4106859,219000356,일산동구청(중),20227,41,41285,4128510400,1100,20227,41
4106821,219000370,마두역(중),20247,41,41285,4128510400,1100,20247,41
4106822,219000383,마두역(중),20249,41,41285,4128510500,1100,20249,41
4196166,219000452,호수마을(중),20493,41,41285,4128510400,1100,20493,41
4196168,219000454,알미공원.일산동구보건소(중),20494,41,41285,4128510600,1100,20494,41
4106818,219000368,백석역(중),20311,41,41285,4128510600,1100,20311,41
4110865,219000163,백석동.요진와이시티(중),20353,41,41285,4128510600,1100,20353,41
4106815,219000386,백석동.요진와이시티(중),20352,41,41285,4128510600,1100,20352,41
9003696,118000089,당산역삼성래미안아파트,19174,11,11560,1156011500,1100,19174,11
2914508,318000090,당산역.삼성래미안아파트,19175,11,11560,1156011600,1100,19175,11
9003697,118000090,당산역삼성래미안아파트,19175,11,11560,1156011600,1100,19175,11
9003702,118000035,영등포시장역4번출구,19120,11,11560,1156010700,1100,19120,11
8502218,118000524,CM병원.독도체험관,19429,11,11560,1156010500,1100,19429,11
9003703,118000019,영등포시장역3번출구,19104,11,11560,1156010600,1100,19104,11
4106817,219000385,안산공원.일산동구보건소(중),20323,41,41285,4128510600,1100,20323,41
4196167,219000453,흰돌마을(중),20491,41,41285,4128510600,1100,20491,41
4123056,219001155,킨텍스역1번출구.현대모터스튜디오고양,20716,41,41287,4128710400,1100,20716,41
4123864,219000719,일산중심병원입구,20676,41,41287,4128710500,1200,20676,41
4123865,219000720,일산중심병원입구,20677,41,41287,4128710500,1200,20677,41
4177510,219000667,하이파크시티3.5단지,20641,41,41287,4128710500,1200,20641,41
4177511,219000668,하이파크시티3.5단지,20640,41,41287,4128710500,1200,20640,41
4110937,219000296,탄현큰마을.동성아파트,20164,41,41287,4128710300,1200,20164,41
4110936,219000316,탄현큰마을.동성아파트,20163,41,41287,4128710300,1200,20163,41
4110819,219000141,탄현마을5.6단지,20176,41,41287,4128710300,1200,20176,41
4110818,219000184,탄현마을5.6단지,20175,41,41287,4128710300,1200,20175,41
4110823,219000143,탄현2단지.삼익아파트,20181,41,41287,4128710300,1200,20181,41
4110822,219000182,탄현2단지.삼익아파트,20180,41,41287,4128710300,1200,20180,41
4110824,219000181,현산초교,20204,41,41287,4128710300,1200,20204,41
4110829,219000146,중산마을2단지.해태쇼핑.코오롱아파트,20258,41,41285,4128510200,1200,20258,41
4110828,219000179,중산마을2단지.해태쇼핑.코오롱아파트,20257,41,41285,4128510200,1200,20257,41
4110830,219000178,중산6단지.중산초교.중산중학교,20289,41,41285,4128510200,1200,20289,41
4110832,219000177,삼성아파트.중산마을8단지,20291,41,41285,4128510200,1200,20291,41
4110836,219000149,중산마을10단지.동신아파트,20259,41,41285,4128510200,1200,20259,41
4110835,219000176,중산마을10단지.동신아파트,20260,41,41285,4128510200,1200,20260,41
4110837,219000175,중산마을입구.쌍용아파트.실로암병원,20246,41,41287,4128710100,1200,20246,41
4110839,219000174,산들대림아파트.롯데마트,20250,41,41287,4128710100,1200,20250,41
4110891,219000112,밤가시마을,20244,41,41285,4128510300,1200,20244,41
4106846,219000201,밤가시마을,20242,41,41285,4128510300,1200,20242,41
4111162,219000805,국립암센터,58014,41,41285,4128510500,1200,58014,41
4110889,219000110,국립암센터,20297,41,41285,4128510500,1200,20297,41
4106849,219000204,국립암센터,20298,41,41285,4128510500,1200,20298,41
4108033,219000994,국립암센터,20605,41,41285,4128510500,1200,20605,41
4110851,219000168,마두1동행정복지센터.마두청소년수련관,20341,41,41285,4128510500,1200,20341,41
4106870,219000207,마두1동행정복지센터.마두청소년수련관,20342,41,41285,4128510500,1200,20342,41
4111194,219000041,백송마을1.2단지,20358,41,41285,4128510600,1200,20358,41
4111197,219000039,백석도서관.일산병원,20369,41,41285,4128510600,1200,20369,41
4111195,219000040,백석도서관.일산병원,20373,41,41285,4128510600,1200,20373,41
4110912,219000329,백석역.고양종합터미널,20354,41,41285,4128510600,1200,20354,41
4106865,219000446,백석역.고양종합터미널,20340,41,41285,4128510600,1200,20340,41
4111216,218000012,대곡역(중),19007,41,41281,4128112200,1200,19007,41
4111217,218000202,대곡역(중),19010,41,41281,4128112000,1200,19010,41
4111341,218000316,고양경찰서.토당청소년수련관(중),19065,41,41281,4128112300,1200,19065,41
4196173,218000320,고양경찰서.토당청소년수련관(중),19345,41,41281,4128112300,1200,19345,41
4111329,218000078,행신동(중),19134,41,41281,4128112800,1200,19134,41
4196171,218000318,행신동(중),19349,41,41281,4128112800,1200,19349,41
4178046,218000636,소만마을(중),19564,41,41281,4128112800,1200,19564,41
4111372,218000637,소만마을(중),19565,41,41281,4128112800,1200,19565,41
4178112,218000134,서정마을(중),19404,41,41281,4128112800,1200,19404,41
4178115,218000145,서정마을(중),19403,41,41281,4128112800,1200,19403,41
4111384,218000139,덕은동(중),19212,41,41281,4128113100,1200,19212,41
4111383,218000140,덕은동(중),19210,41,41281,4128113100,1200,19210,41
9006463,111000001,덕은교.은평차고지앞,12001,11,11380,1138010100,1200,12001,11
9006464,111000002,덕은교.은평차고지앞,12002,11,11380,1138010100,1200,12002,11
9006469,111000007,디지털미디어시티역,12007,11,11380,1138011000,1200,12007,11
9106469,111000007,디지털미디어시티역,12007,11,11380,1138011000,1200,12007,11
0000762,111000008,디지털미디어시티역,12008,11,11380,1138011000,1200,12008,11
8002379,111000008,디지털미디어시티역,12008,11,11380,1138011000,1200,12008,11
9606470,111000008,디지털미디어시티역,12008,11,11380,1138011000,1200,12008,11
9006481,112000012,연세대앞,13012,11,11410,1141011600,1200,13012,11
0000678,112000013,연세대앞,13013,11,11410,1141011600,1200,13013,11
9006482,112000013,연세대앞,13013,11,11410,1141011600,1200,13013,11
9000384,100000034,광화문역6번출구.광화문빌딩,01129,11,11110,1111011900,1200,01129,11
9000248,101000128,신한은행본점,02233,11,11140,1114011400,1200,02233,11
9034842,101000022,숭례문,02117,11,11140,1114011800,1200,02117,11
9034843,101000026,숭례문,02121,11,11140,1114011800,1200,02121,11
0071865,101000027,숭례문,02122,11,11140,1114011800,1200,02122,11
9001112,101000028,숭례문.서울역4번출구,02123,11,11140,1114011800,1200,02123,11
0079041,101000008,숭례문,02008,11,11140,1114011800,1200,02008,11
8501279,112000399,경찰청.동북아역사재단,13039,11,11140,1114016900,1200,13039,11
9613169,112000399,경찰청.동북아역사재단,13039,11,11140,1114016900,1200,13039,11
8503062,101000332,경찰청.동북아역사재단,13041,11,11140,1114016900,1200,13041,11
4106868,219000209,백송마을8.9단지,20362,41,41285,4128510600,1200,20362,41
4110840,219000151,산들마을.대림아파트.롯데마트,20252,41,41285,4128510200,1200,20252,41
4110838,219000150,쌍용아파트.중산마을입구,20248,41,41287,4128710100,1200,20248,41
4110834,219000148,중산마을11단지.현대아파트.삼성아파트,20287,41,41285,4128510200,1200,20287,41
4110831,219000147,중산중학교.중산마을5단지,20288,41,41285,4128510200,1200,20288,41
4110825,219000144,탄현마을,20208,41,41287,4128710300,1200,20208,41
4176040,229000944,교하파출소,30870,41,41480,4148010700,2200,30870,41
4104899,229000948,교하파출소,30136,41,41480,4148010700,2200,30136,41
4175871,229001734,교하파출소,31804,41,41480,4148010700,2200,31804,41
4104803,229000724,문산제일고정문,30178,41,41480,4148010400,2200,30178,41
4104797,229000721,성원아파트,30129,41,41480,4148010500,2200,30129,41
4104798,229000742,성원아파트,30132,41,41480,4148010500,2200,30132,41
4105035,229001269,장터고개.맥금동영업소,30091,41,41480,4148010600,2200,30091,41
4104940,229000746,장터고개.맥금동영업소,30095,41,41480,4148010600,2200,30095,41
4104924,229000715,갈현농협.파주성모병원,31080,41,41480,4148032023,2200,31080,41
4104925,229000748,갈현농협.파주성모병원,31081,41,41480,4148032023,2200,31081,41
4104929,229000713,시그네틱스,31053,41,41480,4148032022,2200,31053,41
4196207,229000712,주택단지입구,31416,41,41480,4148032022,2200,31416,41
4196391,229000751,주택단지입구,30688,41,41480,4148032022,2200,30688,41
4175759,229001418,유승앙브와즈2단지,31548,41,41480,4148032022,2200,31548,41
4104935,229001419,유승앙브와즈2단지,31544,41,41480,4148032022,2200,31544,41
4105040,229000775,효자그린빌.이주단지,31045,41,41480,4148032022,2200,31045,41
4104939,229000778,효자그린빌.이주단지,31047,41,41480,4148032022,2200,31047,41
4104848,229001557,파주프리미엄아울렛후문,31663,41,41480,4148032022,2200,31663,41
4104849,229001558,파주프리미엄아울렛후문,31660,41,41480,4148032022,2200,31660,41
4197502,229000770,유승앙브와즈101동,31427,41,41480,4148032022,2200,31427,41
4105034,229002435,유승앙브와즈101동,31012,41,41480,4148032022,2200,31012,41
4195648,229000755,파주영어마을,30659,41,41480,4148032022,2200,30659,41
4195647,229000768,경기미래교육캠퍼스,30658,41,41480,4148032022,2200,30658,41
