opr_ymd,ride_ctpv_cd,goff_ctpv_cd,clcln_bzmn_id,vr_card_no,card_se_cd,clcln_bzmn_trfc_mns_cd,rte_id,ride_dt,ride_sttn_id,goff_dt,goff_sttn_id,trnf_cnt,users_type_cd,utztn_nope,utztn_dstnc,brdg_hr,msv_intrpl_yn,query_route_id,query_route_no,query_date,GTX_A_역,대상지역
20241017,41,11,08,41_10001255,1,533,41016025,20241017072831,4111341,20241017081520,4111612,0,01,2,17210,2809,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10003499,2,533,41016025,20241017063820,4196170,20241017071844,4111612,0,01,1,16390,2424,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10003499,2,533,41016025,20241017075038,4196170,20241017083337,4111612,0,01,4,16390,2579,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10003499,2,533,41016025,20241017085423,4196170,20241017093558,4111612,0,01,1,16390,2495,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10017778,2,533,41016025,20241017063232,4106852,20241017073512,4111612,0,01,2,25420,3760,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10038047,2,533,41016025,20241017122950,4106852,20241017133448,4111612,0,01,1,25420,3898,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10038047,2,533,41016025,20241017143737,4106852,20241017153529,4111612,0,01,3,25420,3472,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10047540,1,533,41016025,20241017190656,4106859,20241017194541,4111612,0,01,2,23560,2325,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10053258,1,533,41016025,20241017074505,4196170,20241017082550,4108423,0,01,4,17780,2445,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10053258,1,533,41016025,20241017085911,4196170,20241017094154,4108423,0,01,3,17780,2563,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10056917,2,533,41016025,20241017174440,4127137,20241017185429,4111614,0,01,1,27800,4189,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10079106,2,533,41016025,20241017063856,4127137,20241017074803,4111614,1,01,4,27800,4147,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10080616,1,533,41016025,20241017211706,4106859,20241017215521,4151586,0,01,3,14600,2295,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
20241017,41,11,08,41_10094935,2,533,41016025,20241017075158,4196170,20241017082447,4151598,0,01,4,11300,1969,N,41016025,1000,20241017,대곡역·킨텍스역,덕양구·일산서구
