query_date,query_route_no,query_route_id,opr_ymd,ride_ctpv_cd,goff_ctpv_cd,clcln_bzmn_id,vr_card_no,card_se_cd,clcln_bzmn_trfc_mns_cd,rte_id,ride_dt,ride_sttn_id,goff_dt,goff_sttn_id,trnf_cnt,users_type_cd,utztn_nope,utztn_dstnc,brdg_hr,msv_intrpl_yn
20251023,M7731,41016902,20251023,41,11,08,41_1001518,2,570,41016902,20251023104852,4106836,20251023114224,4111599,1,01,4,28270,3212,N
20251023,M7731,41016902,20251023,41,11,08,41_1002899,1,570,41016902,20251023140830,4177448,20251023142838,4111588,0,01,2,22120,1208,N
20251023,M7731,41016902,20251023,41,11,08,41_1002899,1,570,41016902,20251023162718,4177448,20251023165711,4111588,0,01,3,22120,1793,N
20251023,M7731,41016902,20251023,41,11,08,41_100332,2,570,41016902,20251023064826,4177637,20251023072854,4111588,0,01,3,25830,2428,N
20251023,M7731,41016902,20251023,41,11,08,41_10043872,1,570,41016902,20251023121814,4106836,20251023130250,4111588,1,01,2,24330,2676,N
20251023,M7731,41016902,20251023,41,11,08,41_10044719,1,570,41016902,20251023052206,4177637,20251023055721,4111588,0,01,4,25830,2115,N
20251023,M7731,41016902,20251023,41,11,08,41_10061860,2,570,41016902,20251023072449,4177448,20251023074358,4111588,1,01,1,22120,1149,N
20251023,M7731,41016902,20251023,41,11,08,41_10085652,2,570,41016902,20251023152328,4177532,20251023154403,4111588,0,01,1,22980,1235,N
20251023,M7731,41016902,20251023,41,11,08,41_10090601,2,570,41016902,20251023052530,4110935,20251023055931,4116130,0,01,2,30970,2041,N
20251023,M7731,41016902,20251023,41,11,08,41_10178059,1,570,41016902,20251023161609,4106836,20251023164555,4111588,0,01,1,24330,1786,N
20251023,M7731,41016902,20251023,41,11,08,41_10181291,2,570,41016902,20251023142450,4106836,20251023150635,4116126,0,01,3,25350,2505,N
20251023,M7731,41016902,20251023,41,11,08,41_10181291,2,570,41016902,20251023152753,4106836,20251023161441,4116126,0,01,4,25350,2808,N
20251023,M7731,41016902,20251023,41,11,08,41_10224110,2,570,41016902,20251023112534,4106836,20251023115920,4116126,0,01,1,25350,2026,N
20251023,M7731,41016902,20251023,41,11,08,41_10266036,1,570,41016902,20251023112315,4177448,20251023115436,4111588,0,01,2,22120,1881,N
20251023,M7731,41016902,20251023,41,11,08,41_10269445,2,570,41016902,20251023062738,4177448,20251023070333,4111588,0,01,1,22120,2155,N
20251023,M7731,41016902,20251023,41,11,08,41_10271735,1,570,41016902,20251024000606,4106836,20251024004320,4111588,3,01,1,24330,2234,N
20251023,M7731,41016902,20251023,41,11,08,41_10285981,2,570,41016902,20251023112359,4177448,20251023115732,4116126,0,01,1,23140,2013,N
20251023,M7731,41016902,20251023,41,11,08,41_10297097,1,570,41016902,20251023070841,4106836,20251023074822,4111588,0,01,1,24330,2381,N
20251023,M7731,41016902,20251023,41,11,08,41_10321831,1,570,41016902,20251023141529,4177532,20251023144838,4111588,0,01,4,22980,1989,N
