노선번호,sttnArsno,sdCd,sggCd
1100,20594,41,
1100,20595,41,
1100,20036,41,
1100,20035,41,
1100,20053,41,
1100,20054,41,
1100,20649,41,
1100,20650,41,
1100,20764,41,
1100,20135,41,
1100,20136,41,
1100,20166,41,
1100,20161,41,
1100,20203,41,
1100,20206,41,
1100,20224,41,
1100,20227,41,
1100,20247,41,
1100,20249,41,
1100,20493,41,
1100,20494,41,
1100,20311,41,
1100,20353,41,
1100,20352,41,
1100,19174,11,
1100,19175,11,
1100,19120,11,
1100,19429,11,
1100,19104,11,
1100,20323,41,
1100,20491,41,
1100,20716,41,
1200,20594,41,
1200,20595,41,
1200,20676,41,
1200,20677,41,
1200,20641,41,
1200,20640,41,
1200,20164,41,
1200,20163,41,
1200,20176,41,
1200,20175,41,
1200,20181,41,
1200,20180,41,
1200,20204,41,
1200,20258,41,
1200,20257,41,
1200,20289,41,
1200,20291,41,
1200,20259,41,
1200,20260,41,
1200,20246,41,
1200,20250,41,
1200,20244,41,
1200,20242,41,
1200,58014,41,
1200,20297,41,
1200,20298,41,
1200,20605,41,
1200,20341,41,
1200,20342,41,
1200,20358,41,
1200,20369,41,
1200,20373,41,
1200,20354,41,
1200,20340,41,
1200,20353,41,
1200,20352,41,
1200,19007,41,
1200,19010,41,
1200,19065,41,
1200,19345,41,
1200,19134,41,
1200,19349,41,
1200,19564,41,
1200,19565,41,
1200,19404,41,
1200,19403,41,
1200,19212,41,
1200,19210,41,
1200,12001,11,
1200,12002,11,
1200,12007,11,
1200,12008,11,
1200,13012,11,
1200,13013,11,
1200,1129,11,
1200,2233,11,
1200,2117,11,
1200,2121,11,
1200,2122,11,
1200,2123,11,
1200,2008,11,
1200,13039,11,
1200,13041,11,
1200,20362,41,
1200,20252,41,
1200,20248,41,
1200,20287,41,
1200,20288,41,
1200,20208,41,
2200,30870,41,
2200,30136,41,
2200,31804,41,
2200,30178,41,
2200,30129,41,
2200,30132,41,
2200,30091,41,
2200,30095,41,
2200,31080,41,
2200,31081,41,
2200,31053,41,
2200,31416,41,
2200,30688,41,
2200,31548,41,
2200,31544,41,
2200,31045,41,
2200,31047,41,
2200,31663,41,
2200,31660,41,
2200,31427,41,
2200,31012,41,
2200,30659,41,
2200,30658,41,
2200,31044,41,
2200,31030,41,
2200,31031,41,
2200,30920,41,
2200,31026,41,
2200,30675,41,
2200,31020,41,
2200,30916,41,
2200,30935,41,
2200,31726,41,
2200,31727,41,
2200,31709,41,
2200,31707,41,
2200,30219,41,
2200,30811,41,
2200,30007,41,
2200,30006,41,
2200,30004,41,
2200,30003,41,
2200,31571,41,
2200,14216,11,
2200,14219,11,
2200,14220,11,
2200,14895,11,
2200,14835,11,
2200,14012,11,
2200,14011,11,
2200,14217,11,
2200,14218,11,
2200,30001,41,
2200,30117,41,
2200,30122,41,
2200,31426,41,
2200,31855,41,
2200,31050,41,
2200,30024,41,
2200,30034,41,
2200,30181,41,
