query_date,route_id,route_no,status,count,error
20241017,41016025,1000,41:OK;11:OK,55,
20241017,41016018,1082,41:OK;11:OK,102,
20241017,41016045,1100,41:OK;11:OK,50,
20241017,41016027,1200,41:OK;11:OK,77,
20241017,41016044,1500,41:OK;11:OK,96,
20241017,41016042,1900,41:OK;11:OK,75,
20241017,41091008,2200,FALLBACK_20251016,79,2025-10-16 정류장 원본 사용 (2024 API NOT_FOUND)
20241017,41091022,3100,FALLBACK_20251016,62,2025-10-16 정류장 원본 사용 (2024 API NOT_FOUND)
20241017,41016049,3400,41:OK;11:OK,44,
20241017,41011156,6701,41:OK;11:OK,32,
20241017,41016050,7101,41:OK;11:OK,67,
20241017,41003717,9600,41:OK;11:OK,87,
20241017,41016029,9700,41:OK;11:OK,81,
20241017,41034153,9709,41:OK;11:OK,148,
20241017,41034123,9710,41:OK;11:OK,155,
20241017,41034145,9710-1,41:OK;11:OK,176,
20241017,41084001,G7426,41:OK;11:OK,73,
20241017,41084002,G7625,41:OK;11:OK,61,
20241017,41084903,M7154,41:OK;11:OK,54,
20241017,41003902,M7412,41:OK;11:OK,62,
20241017,41016902,M7731,41:OK;11:OK,50,
