"query_date","route_id","route_no","status","count","error"
"20251016","41016025","1000","41:OK;11:OK","55",""
"20251016","41016018","1082","41:OK;11:OK","102",""
"20251016","41016045","1100","41:OK;11:OK","50",""
"20251016","41016027","1200","41:OK;11:OK","77",""
"20251016","41016044","1500","41:OK;11:OK","96",""
"20251016","41016042","1900","41:OK;11:OK","75",""
"20251016","41084003","2200","41:OK;11:OK","79",""
"20251016","41084007","3100","41:OK;11:OK","62",""
"20251016","41016049","3400","41:OK;11:OK","44",""
"20251016","41011156","6701","41:OK;11:OK","32",""
"20251016","41016050","7101","41:OK;11:OK","67",""
"20251016","41084008","7111","41:OK;11:OK","56",""
"20251016","41084004","9030","41:OK;11:OK","66",""
"20251016","41084005","9030-1","41:OK;11:OK","64",""
"20251016","41003717","9600","41:OK;11:OK","87",""
"20251016","41016029","9700","41:OK;11:OK","81",""
"20251016","41034153","9709","41:OK;11:OK","148",""
"20251016","41034123","9710","41:OK;11:OK","155",""
"20251016","41034145","9710-1","41:OK;11:OK","176",""
"20251016","41084001","G7426","41:OK;11:OK","73",""
"20251016","41084002","G7625","41:OK;11:OK","61",""
"20251016","41016903","M7111","41:OK;11:OK","52",""
"20251016","41084903","M7154","FALLBACK_20241017","54","2024-10-17 정류장 원본 사용 (2025 API 연결 실패)"
"20251016","41003902","M7412","FALLBACK_20241017","62","2024-10-17 정류장 원본 사용 (2025 API 연결 실패)"
"20251016","41016902","M7731","FALLBACK_20241017","50","2024-10-17 정류장 원본 사용 (2025 API 연결 실패)"
